Prompt,Input,Output,Type
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",that i think that's more of a personal view of mine other than a yes sir we should have drug testing because there's really a problem,i do n't think that that's that i think that's more of a personal view of mine other than a a yes sir we should have drug testing because there's really a problem,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",so i watch those,so so i watch those,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and how do you rate the uh,and and how do you rate the uh,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",my wife ate more vegetable than i did growing up,my my wife eats more vegetables ate more vegetable than i did growing up,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",for their own gains do you think goes on then they that's hard to answ- But I agree with you there's a lot in business. I think that's very normal that we should not ex- I think I think we put too much on politicians. We expect them to only be there to serve us you know.,for their own gains do you think goes on <sil> then they <sil> that's hard to answ- <sil> But I agree with you <sil> there's a lot in business. I think that's very normal <sil> that we should not ex- <sil> I think <sil> I think we put too much on politicians. We expect them to only be there to serve us <sil> you know.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",you know so it's like,and you know so it's like,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Sure. And they think that's a family activity you know. Yeah. That's great fun.,Sure. And they think that's a family activity <sil> you know. Yeah. That's great fun.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",did you learn it in computer science,di- did you learn it in computer science,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",You know it's just it's it's ridiculous the way unions have gone. There was a time when unions were needed.,You know <sil> it's just <sil> it's <sil> it's ridiculous the way unions have gone. There was a time when unions were needed.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",do you have horses,do do you have horses,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",oh I don't know. What do you call it? A dealer return type thing on a ninety-two and ninety-three or something like that you know. Year old ninety-two or something like that.,oh <sil> I don't know. What do you call it? A dealer return type thing on a ninety-two and ninety-three or something like that you know. Year old ninety-two or something like that.,sil
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Yeah. Yeah that was a real Was it? I bet it was I really bet it was. Is that the only uh musical do you go see a lot of musicals?,Yeah. Yeah <sil> that was a real <sil> Was it? I bet it was <sil> I really bet it was. Is that the only <sil> uh <sil> musical <sil> do you go see a lot of musicals?,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",she's five,we she's five,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",i think it's a marvelous idea uh when i just think of the papers that i dump out i mean there just,i think it's a marvelous idea when you think of uh when i just think of the papers that i dump out i mean there just,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Oh oh.,Oh <sil> oh.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",well and i,well and i- i,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",your family does n't live close then,y- your family does n't live close then,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",that's what i you know,that's what i i you know,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",but they did go in,but they r- they did go in,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",they figure that they can draft you at eighteen,they they figure that they can draft you at eighteen,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",but you got uh the great big area that's was traditionally known as russia,but you got uh the the great big area that's just was traditionally known as russia,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",it's just a job,it's a just just a job,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and what kinds of things do you use it for when when you go houses to uh use,and what kinds of things do you use it for when when you u- when you go to their hou- houses to uh use them,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",well i'm i'm sure because it seems like,well i'm i'm i'm sure because it seems like,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",My brother's like that and um see he goes to a lot of games not a real lot but he tries to go then my father got us some tickets so my brother's wife and my husband and I went. Last year we wanted to show my husband what a baseball game was because you know being a non-American you want to see what a baseball game is like. And he describes it as you sit there in a crowd it was nice weather and stuff it wasn't a real problem but you sit there in a crowd and you're waiting and waiting and waiting and you eat these lousy the hot dogs um because we made him try a hot dog you know MUMBLEx and um so you sit there and you wait for the longest time really bored and then all of a sudden something happens but you happen to look the other way during the time yeah and so you're basically you MUMBLEx sit there and wait for something exciting to happen and when it happened he missed it and didn't understand it and it Um he grew up out well he grew up in MUMBLEx which is the sort of O strip east to west eastern part but that Yeah he's not that far he was sort of in between Strasbourg and Paris.,My brother's like that and <sil> um <sil> see he goes to a lot of games <sil> not a real lot <sil> but he tries to go <sil> then my father got us some tickets <sil> so my brother's wife and my husband and I went. Last year we wanted to show my husband what a baseball game was because <sil> you know <sil> being a non-American you want to see what a baseball game is like. And he describes it as <sil> you sit there in a crowd <sil> it was nice weather and stuff <sil> it wasn't a real problem <sil> but you sit there in a crowd <sil> and you're waiting and waiting and waiting and you eat these lousy the hot dogs <sil> um <sil> because we made him try a hot dog <sil> you know MUMBLEx <sil> and <sil> um <sil> so you sit there and you wait for the longest time really bored <sil> and then all of a sudden something happens but you happen to look the other way during the time <sil> yeah <sil> and so you're basically you MUMBLEx sit there and wait for something exciting to happen and when it happened he missed it <sil> and didn't understand it and it <sil> Um <sil> he grew up out <sil> well <sil> he grew up in MUMBLEx <sil> which is the <sil> sort of O strip east to west <sil> eastern part <sil> but that <sil> Yeah <sil> he's not that far <sil> he was sort of in between Strasbourg <sil> and Paris.,sil
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Oh oh oh okay Right. Well sure because Queen was real popular when I was growing up.,Oh <sil> oh <sil> oh <sil> okay <sil> Right. Well sure <sil> because Queen was real popular when I was growing up.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",it must be,i- it must be,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and i'm saying that when i get older i could probably make the best of this place i mean,and i'm and i'm saying that when i get older i could probably make the best of this place i mean,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",then i usually put the cut up tomatoes next and then the um lettuce,then and i- i usually put the cut up tomatoes next and then the um lettuce,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",well i i do n't know,well i i i do n't know,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",So despite the fact that I should be tying flies or fly fishing or going for walks in the mountains I can't seem to get into it right now.,So <sil> despite the fact that I should be tying flies or fly fishing or going for walks in the mountains <sil> I can't seem to get into it right now.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",he's really starting to get lots of fun,he's really he's really starting to get lots of fun,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",uh very rarely do i meet anybody whose children are you know past that age when they've been away for a few years,uh i'm very rarely do i meet anybody whose children are are you know past that age when they've been away for a few years,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Well at that time actually I had a Volkswagen Rabbit,Well <sil> at that time <sil> actually <sil> I had a Volkswagen Rabbit,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and so you know it's not an intelligence problem,and and so it's you know it's not an intelligence problem,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",But uh the dye lots uh must have been a little bit different from first of all it takes quite a few rolls even a small room if you're trying to match a design.,But <sil> uh <sil> the dye lots <sil> uh <sil> must have been a little bit different from <sil> first of all it takes quite a few rolls <sil> even a small room <sil> if you're trying to match a design.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",but they're protected in so many ways without having to pay for the rights and privileges,but but they're protected in so many ways without having to to pay for the rights and privileges,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Checked out or whatever. But it seems to me that there are ways to accommodate that. Um I agree that that some innocent person might be victimized by a false test but I would think that um that some guidelines could be set up to avoid that. For example that one uh positive would not be uh accepted as an automatic um reason for whatever they might be going to do if they found a positive uh dismissal or treatment or whatever but that that what it would do is it would trigger perhaps uh one or two more stages where further tests could be ta- uh done. Because um there are there must be people like you or in other circumstances that could come up with with uh false positives for certain kind of drugs. On the other hand um I think there's certainly some professions that ought to be tested because of the of their responsibility for the public welfare and certainly people in uh industries well the transportation industry for spe- uh you know specifically. But um in many many cases whether or not an individual has a problem with drugs it's not even going to effect anybody but his uh you know himself and his own family perhaps um depending on the kind of drug he might be on. But um and eventually that's going to show up anyway in the way he works and so on. But there's so many things that it would make a difference. I guess I I uh I would not want to have anyone in my family uh victimized by someone who you know a a bus driver or a train engineer or something like that who um you know hadn't been tested.,Checked out or whatever. But it seems to me that there are ways to accommodate that. Um <sil> I agree that <sil> that some innocent person might be victimized <sil> by a false test <sil> but I would think that <sil> um <sil> that some guidelines could be set up to avoid that. For example <sil> that one <sil> uh <sil> positive would not be <sil> uh <sil> accepted as an automatic <sil> um <sil> reason for whatever they might be going <sil> to do if they found a positive <sil> uh <sil> dismissal or treatment or whatever <sil> but that <sil> that what it would do is it would trigger <sil> perhaps <sil> uh <sil> one or two more stages where further tests could be ta- <sil> uh <sil> done. Because <sil> um <sil> there are <sil> there must be people like you <sil> or in other circumstances <sil> that could come up with <sil> with <sil> uh <sil> false positives for certain kind of drugs. On the other hand <sil> um <sil> I think there's certainly some professions that ought to be tested because of the <sil> of their responsibility for the public welfare <sil> and certainly people in <sil> uh <sil> industries <sil> well <sil> the transportation industry <sil> for spe- <sil> uh <sil> you know <sil> specifically. But <sil> um <sil> in many <sil> many cases whether or not an individual has a problem with drugs <sil> it's not even going to effect anybody but his <sil> uh <sil> you know <sil> himself and his own family <sil> perhaps <sil> um <sil> depending on the kind of drug he might be on. But <sil> um <sil> and eventually that's going to show up anyway in the way he works <sil> and so on. But there's so many things that it would make a difference. I guess I <sil> I <sil> uh <sil> I would not want to have anyone in my family <sil> uh <sil> victimized by someone who <sil> you know <sil> a <sil> a bus driver or a train engineer or something like that <sil> who <sil> um <sil> you know <sil> hadn't been tested.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",i mean i took a lie detector test once,i mean i i took a lie detector test once,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and i do not do my oil changes,an i and i do not do my oil changes,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Okay well they'll cut us off pretty soon.,Okay <sil> well they'll cut us off pretty soon.,sil
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",I know I'm always scared of that whenever I go to a game. I rarely go but we went last year because my brother my brother is impossible when um he does football leagues and baseball leagues and all kinds of stuff and if there's a game on he's watching it. I mean that's all there is to it and he's like glued at the T V.,I know I'm always scared of that whenever I go to a game. I rarely go but we went last year because my brother <sil> my brother is impossible <sil> when <sil> um <sil> he does football leagues and baseball leagues and all kinds of stuff <sil> and if there's a game on <sil> he's watching it. I mean <sil> that's all there is to it <sil> and he's like glued at the T V.,sil
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Yeah. I don't know I it's I don't know what I don't know. I I don't know what it is about the enchiladas. I just and I'm the only one including my Mom and Dad and my brother. I'm the only one that doesn't eat it. But my kids love it.,Yeah. I don't know <sil> I <sil> it's <sil> I don't know what <sil> I don't know. I <sil> I don't know what it is about the enchiladas. I just <sil> and I'm the only one including my Mom and Dad and my brother. I'm the only one that doesn't eat it. But <sil> my kids love it.,sil
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Uh-huh uh-huh.,Uh-huh <sil> uh-huh.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",it does n't even have thirty thousand miles on it,it only has does n't even have thirty mil- thirty thousand miles on it,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",even though there's a few up here we call them couch potatoes,i mean there are even though there's a few up here we call them couch potatoes,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",it's just a a bad habit uh uh,i just it's just a a a bad habit uh uh,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Uh we have two and another one on the way.,Uh <sil> we have two and another one on the way.,sil
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",It's that was one of the first things I made for my husband because I like um yeah I could actually find something I could cook real easy that would be kind of sort of elegant kind of.,It's <sil> that was one of the first things I made for my husband <sil> because I like <sil> um <sil> yeah I could actually find something I could cook real easy that would be kind of sort of elegant kind of.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and uh she's a teacher,and uh she's she's a teacher,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",I'll have to check it check check it back up and but the thing is everybody always looks so good on that show least on MUMBLEx.,I'll have to check it <sil> check <sil> check <sil> it back up <sil> and <sil> but the thing is everybody always looks so good on that show <sil> least on MUMBLEx.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",uh or he'll have somebody lie for him,and uh or he'll have somebody lie for him,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",yeah i yeah the uh i think maybe there's where the problem came in you know,i've never yeah i yeah the uh i think maybe there's where the the problem came in you know,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Oh really.,Oh <sil> really.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",uh and i just thought it was so strange,uh and i- i just thought it was so strange,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",in the in,i- in the in,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",I guess she does it for the social value of showing you what trash is huh?,I guess she does it for the social value of showing you what trash is <sil> huh?,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",i- i do n't mind baking at all,i used to i- i do n't mind baking at all,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Well we do s- some dining out. Um I I do a lot of cooking so um mostly like when we go out you know it's my husband and I I we don't go out too often as a family um unless it's like a fast-food kind of thing. But um but we do enjoy dining out. One of our favorite places here in in the Dallas area is Atlantic Cafe. I don't know if you have you ever been there?,Well <sil> we do s- <sil> some dining out. Um <sil> I <sil> I do a lot of cooking so <sil> um <sil> mostly like when we go out <sil> you know <sil> it's my husband and I <sil> I <sil> we don't go out too often as a family <sil> um <sil> unless it's like a fast-food kind of thing. But <sil> um <sil> but we do enjoy dining out. One of our favorite places here in <sil> in the Dallas area is Atlantic Cafe. I don't know if you <sil> have you ever been there?,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",you see somebody's mini series,you you see somebody's mini series,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Well except I know it would just be cost effective. They've already got all this money out on hiring uh getting the trucks and hiring people to work them. I'm sure they couldn't afford that. But uh Yeah. Oh yeah.,Well <sil> except I know it would just be cost effective. They've already got all this money out on hiring <sil> uh <sil> getting the trucks and hiring people to work them. I'm sure they couldn't afford that. But uh <sil> Yeah. Oh <sil> yeah.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",so at least that'll be exciting when we get that,so at least at least that'll be exciting when we get that,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Yeah actually we saw her just the other night too. Yeah. It's one of our favorite movies. I live with um a roommate and my girlfriend the three of us. We've seen that movie probably six times in the last six months.,Yeah <sil> actually we saw her just the other night too. Yeah. It's one of our favorite movies. I live with <sil> um <sil> a roommate and my girlfriend the three of us. We've seen that movie probably six times in the last six months.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",there's lots of pinks and greens,there's there's lots of pinks and and greens,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and they'll put them down on the floor,and and they'll put them down on the floor,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",but often juries hear only a fraction of the story when they have to decide guilt or innocence,but often juries hear only a fraction of the of the story when they have to decide guilt or innocence,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Boy those are a long way. How Uh-huh.,Boy <sil> those are a long way. How <sil> Uh-huh.,sil
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",I Wow.,I <sil> Wow.,sil
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Oh I'm sure he does.,Oh <sil> I'm sure he does.,sil
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Right. Uh most the time if they were some of them were even better behaved. I've only had two instances where it was really noticeable but they were better behaved when they were um I don't know if was alcohol or something else that they were on but,Right. Uh <sil> most the time if they were <sil> some of them were even better behaved. I've only had two instances where it was really noticeable but they were better behaved when they were <sil> um <sil> I don't know if was alcohol or something else that they were on but,sil
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",You mean in the in the most recent conflict?,You mean in the <sil> in the most recent conflict?,sil
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",I think it would be a great idea. I'm not sure about requiring it you know of people because people are going you know feeling resentful. I don't know but I think it would be a great idea. Seems like there's so many kids that don't have any since of you know what they want to be or do or you know they could learn something and maybe help other people at the same time and we sure our country all countries sure need help so Huh-uh.,I think it would be a great idea. I'm not sure about requiring it <sil> you know <sil> of people <sil> because people are going <sil> you know <sil> feeling resentful. I don't know <sil> but I think it would be a great idea. Seems like there's so many kids that don't have any since of <sil> you know <sil> what they want to be or do or <sil> you know <sil> they could learn something and maybe help other people at the same time and we <sil> sure <sil> our country <sil> all countries sure need help so <sil> Huh-uh.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",he wears his brace and his high tops,he wears his his brace and his high tops,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and i suppose uh you know total ban would lead to more illegal weapons,and i suppose com- uh you know c- total ban would lead to more illegal weapons,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",well my oldest is only nine,well my my oldest is only nine,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",I mean there just it's such a I waste I just hate to think about it.,I mean there just <sil> it's such a I waste <sil> I just hate to think about it.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",uh it did n't have any real social bearing,it did n't uh it did n't have any real social bearing,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",we see through out the country,we see through the out the country,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",ah they're just so outrageously priced,i just ah they're just so outrageously priced,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",so that's,so that's y-,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Now that's a thought.,Now <sil> that's a thought.,sil
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Yeah huh.,Yeah <sil> huh.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",i mean it's very humiliating,i mean it's it's very humiliating,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",i was impressed by them,i was i was impressed by them,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",but you know i have found that with,so but you know i have found that with,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",if they go to uh uh all right uh banning pri- private pri- citizens this,if they go to uh regulating uh all right uh banning guns o- pri- private pri- private ci- citizens this,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",do you're you're like a boat ride from,do n't know you're you're you're like a boat ride from,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",that happened to us,that that happened to us,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",it was just really a fight to you know get her clean,it was it was just really a fight to you know get her clean,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and're they're certainly intense about the cardinals they,and they're uh they're they're certainly intense about the cardinals they,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",You know I mean they heard someone calling for help. Nobody even called the police to say you know I hear a strange screaming I'm afraid you know if you I don't blame people with today's society about going out to help themselves.,You know <sil> I mean they heard someone calling for help. Nobody even called the police to say <sil> you know <sil> I hear a strange screaming I'm afraid <sil> you know <sil> if you <sil> I don't blame people with today's society about going out to help themselves.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",well i'm sure it'll keep up,i- well i'm sure it'll keep up,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",that's what i'd always heard,that's that's what i'd always heard,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",my criteria at the moment it would be uh american uh personally,my my criteria would be at the moment it would be uh american uh personally,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",i do n't,i- i do n't,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",they're not my favorite totally,they're not they're not my favorite totally,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and so she knew that i had the time and would enjoy it,and so she knew that i had the time and would be would enjoy it,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",see the the thing is like here they just give you like local news okay,see the the the thing is like here they just they just give you like local news okay,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",well you and we took the skin and the head and the feet off,well you and we took the skin and the head and the le- and the feet off,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",so we can n't ever recycle those,so we can n't can n't ever recycle those,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",well it it's been a good conversation,good well it's g- it's been a good ta- conversation,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and actually i never read a lot growing up,and i've actually i never read a lot growing up,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",i th- i,i- i th- i,disfl
